Type,Exchanges,St. Dev Mass Bal Rel Diff,Average Mass Bal Rel Diff,Uncertainty Scenario,,,,,,,,,,,,
Abs diff,Tech - Fly-ash,38.5481,-8.109,55555,Product/Tech - Concrete production,0,0,0,0,0,,,,,,
Abs diff,Tech - Water,56.1346,-8.357,44444,Tech - Cement,24.1,26.2,31.4,51.6,98.1,,-23.4%,-16.5%,0.0%,64.4%,212%
Abs diff,Tech - Fine aggregate,106.4819,-9.388,22222,Tech - Coarse aggregate,167,172,213,333,662,,-21.6%,-19.0%,0.0%,56.5%,211%
Abs diff,Tech - Coarse aggregate,172.296,-9.713,22222,Tech - Fine aggregate,102,106,138,210,384,,-25.9%,-22.9%,0.0%,52.1%,178%
Abs diff,Tech - Coarse aggregate,212.8332,-10.477,33333,Tech - Fly-ash,10.0,10.8,12.9,20.9,38.5,,-22.2%,-16.1%,0.0%,62.6%,199%
Abs diff,Tech - Coarse aggregate,166.8882,-13.887,11111,Tech - Water,25.1,26.3,33.4,56.1,94.3,,-24.8%,-21.3%,0.0%,68.1%,183%
Abs diff,Tech - Fine aggregate,138.0225,-14.05,33333,,,,,,Average,,-23.6%,-19.2%,0.0%,60.7%,197%
Abs diff,Tech - Water,94.3498,-18.232,55555,Process mass balance,200,208,256,415,781,,-22.0%,-18.8%,0.0%,61.7%,204%
Abs diff,Tech - Cement,98.0959,-24.047,55555,,,,,,,,,,,,
,,,,,Basic uncertainty variance = 0.02,"1,1,1,1,1","2,2,2,2,2","3,3,3,3,3","4,4,4,4,4",55555,,,,,,
Abs diff,Tech - Coarse aggregate,333.0061,-33.879,44444,Additional variance ,0,0.001525,0.0127,0.0586,0.21,,0.0%,7.6%,63.5%,293.0%,1050.0%
,,,,,"Relative difference (compared to 1,1,1,1,1)",0.0%,7.6%,63.5%,293.0%,1050.0%,,,,,,
,,,,,,,,,,,,,,,,
Abs diff,Tech - Fine aggregate,209.9559,-35.983,44444,Total standard deviation,0.141,0.147,0.181,0.280,0.480,,0.0%,3.7%,27.9%,98.2%,239.1%
,,,,,"Relative difference (compared to 1,1,1,1,1)",0%,3.74%,27.9%,98.2%,239%,,,,,,
Abs diff,Tech - Fine aggregate,384.3391,-70.352,55555,"Relative difference (compared to 3,3,3,3,3)",-21.8%,-18.9%,0.0%,55.0%,165%,,,,,,
Abs diff,Tech - Coarse aggregate,662.105,-132.421,55555,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Process mass imbalance standard deviation (kg),200,208,256,415,781,,,,,,
,,,,,Standard deviation (Additional uncertainty only) - kg,,8,56,215,581,,,,,,
,,,,,"Relative difference (compared to 1,1,1,1,1)",,4.07%,28.2%,107%,290%,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,525,,,,,,,,
